species,year,germ,survive,seedlings_per_m2,lx,bx,lxbx,seeds_per_m2,germ fraction,,,,,,,,
stmi,1992,12,9,2.857,0.75,549.844,412.383,2.425,0.541,,,,,,,,
vuoc,1992,26,24,6.19,0.923,215.405,198.836,0,1,,,,,,,,
dapu,1993,36,18,30,0.5,6.333,3.167,174.575,0.147,,,,,,,,
drcu,1993,0,0,0,.,.,0,28.62,0,,,,,,,,
erci,1993,4,2,3.333,0.5,7.5,3.75,5.72,0.368,,,,,,,,
erla,1993,109,68,90.833,0.624,36.015,22.468,60.1,0.602,,,,,,,,
erte,1993,2,0,1.667,0,.,0,0,1,,,,,,,,
eumi,1993,0,0,0,.,.,0,176.01,0,,,,,,,,
evmu,1993,70,42,58.333,0.6,73.39,44.034,592.42,0.09,,,,,,,,
lare,1993,0,0,0,.,.,0,2.86,0,,,,,,,,
mobe,1993,135,102,112.5,0.756,26.765,20.222,0,1,,,,,,,,
pere,1993,110,78,91.667,0.709,15.785,11.193,94.445,0.493,,,,,,,,
plin,1993,167,106,139.167,0.635,4.906,3.114,25.765,0.844,,,,,,,,
plpa,1993,316,240,263.333,0.759,8.5,6.456,160.265,0.622,,,,,,,,
scba,1993,718,562,598.333,0.783,29.419,23.027,24137.555,0.024,,,,,,,,
stmi,1993,51,32,42.5,0.627,77.456,48.6,57.24,0.426,,,,,,,,
vuoc,1993,107,86,89.167,0.804,.,.,154.545,0.366,,,,,,,,
dapu,1994,12,10,10,0.833,.,.,163.44,0.058,,,,,,,,
drcu,1994,0,0,0,.,.,0,135.845,0,,,,,,,,
erci,1994,7,7,5.833,1,.,.,128.77,0.043,,,,,,,,
erla,1994,3,1,2.5,0.333,.,.,263.195,0.009,,,,,,,,
erte,1994,4,4,3.333,1,.,.,0,1,,,,,,,,
eumi,1994,0,0,0,.,.,0,3.185,0,,,,,,,,
evmu,1994,5,3,4.167,0.6,.,.,1014.595,0.004,,,,,,,,
lare,1994,0,0,0,.,.,0,6.37,0,,,,,,,,
mobe,1994,5,1,4.167,0.2,.,.,0,1,,,,,,,,
pere,1994,201,96,167.5,0.478,.,.,532.77,0.239,,,,,,,,
plin,1994,178,139,148.333,0.781,.,.,102.945,0.59,,,,,,,,
plpa,1994,137,100,114.167,0.73,.,.,926.86,0.11,,,,,,,,
scba,1994,76,53,63.333,0.697,.,.,14338.815,0.004,,,,,,,,
stmi,1994,49,38,40.833,0.776,.,.,83.485,0.328,,,,,,,,
vuoc,1994,145,74,120.833,0.51,.,.,825.695,0.128,,,,,,,,
dapu,1995,133,120,27.708,0.902,13.211,11.919,127.24,0.179,,,,,,,,
drcu,1995,88,72,18.333,0.818,244.032,199.663,2.995,0.86,,,,,,,,
erci,1995,112,107,23.333,0.955,31.37,29.969,5.855,0.799,,,,,,,,
erla,1995,222,132,46.25,0.595,43.627,25.94,95.08,0.327,,,,,,,,
erte,1995,11,6,2.292,0.545,10,5.455,0,1,,,,,,,,
eumi,1995,63,29,13.125,0.46,57.75,26.583,107.74,0.109,,,,,,,,
evmu,1995,155,117,32.292,0.755,86.024,64.934,544.44,0.056,,,,,,,,
lare,1995,45,33,9.375,0.733,72.276,53.002,0,1,,,,,,,,
mobe,1995,145,84,30.208,0.579,58.889,34.115,0,1,,,,,,,,
pere,1995,1433,1176,298.542,0.821,59.671,48.969,31.885,0.904,,,,,,,,
plin,1995,114,95,23.75,0.833,24.027,20.023,0,1,,,,,,,,
plpa,1995,1958,1665,407.917,0.85,27.884,23.712,58.585,0.874,,,,,,,,
scba,1995,1984,1462,413.333,0.737,82.457,60.762,5215.045,0.073,,,,,,,,
stmi,1995,598,377,124.583,0.63,72.745,45.861,96.465,0.564,,,,,,,,
vuoc,1995,958,815,199.583,0.851,82.355,70.062,62.79,0.761,,,,,,,,
dapu,1996,35,0,7.292,0,.,0,154.005,0.045,,,,,,,,
drcu,1996,48,0,10,0,.,0,1498.34,0.007,,,,,,,,
erci,1996,238,0,49.583,0,.,0,42.2,0.54,,,,,,,,
erla,1996,15,0,3.125,0,.,0,81.265,0.037,,,,,,,,
erte,1996,7,0,1.458,0,.,0,23.975,0.057,,,,,,,,
eumi,1996,1,0,0.208,0,.,0,228.875,0.001,,,,,,,,
evmu,1996,12,0,2.5,0,.,0,1385.5,0.002,,,,,,,,
lare,1996,1,0,0.208,0,.,0,96.835,0.002,,,,,,,,
mobe,1996,34,0,7.083,0,.,0,0,1,,,,,,,,
pere,1996,1821,9,379.375,0.005,12.1,0.06,5121.845,0.069,,,,,,,,
plin,1996,471,12,98.125,0.025,12,0.306,162.745,0.376,,,,,,,,
plpa,1996,1631,4,339.792,0.002,5.5,0.013,1363.775,0.199,,,,,,,,
scba,1996,908,2,189.167,0.002,12,0.026,7456.21,0.025,,,,,,,,
stmi,1996,59,0,12.292,0,.,0,45.375,0.213,,,,,,,,
vuoc,1996,332,2,69.167,0.006,.,.,858.56,0.075,,,,,,,,
dapu,1997,4,0,0.833,0,.,0,57.24,0.014,,,,,,,,
drcu,1997,11,0,2.292,0,.,0,297.64,0.008,,,,,,,,
erci,1997,40,1,8.333,0.025,10,0.25,0,1,,,,,,,,
erla,1997,8,0,1.667,0,.,0,82.995,0.02,,,,,,,,
erte,1997,1,1,0.208,1,10,10,0,1,,,,,,,,
eumi,1997,3,0,0.625,0,.,0,0,1,,,,,,,,
evmu,1997,0,0,0,.,.,0,718.34,0,,,,,,,,
lare,1997,9,2,1.875,0.222,8,1.778,0,1,,,,,,,,
mobe,1997,6,1,1.25,0.167,41,6.833,0,1,,,,,,,,
pere,1997,882,90,183.75,0.102,17.911,1.828,1073.225,0.146,,,,,,,,
plin,1997,27,9,5.625,0.333,7.333,2.444,108.75,0.049,,,,,,,,
plpa,1997,150,35,31.25,0.233,15.086,3.52,97.305,0.243,,,,,,,,
scba,1997,33,4,6.875,0.121,5.5,0.667,1677.09,0.004,,,,,,,,
stmi,1997,4,0,0.833,0,.,0,37.205,0.022,,,,,,,,
vuoc,1997,22,0,4.583,0,.,0,168.855,0.026,,,,,,,,
dapu,1998,80,30,16.667,0.375,106,39.75,14.165,0.541,,,,,,,,
drcu,1998,55,8,11.458,0.145,166.03,24.15,834.88,0.014,,,,,,,,
erci,1998,28,20,5.833,0.714,232.25,165.89,0,1,,,,,,,,
erla,1998,51,34,10.625,0.667,418.05,278.7,56.6,0.158,,,,,,,,
erte,1998,4,2,0.833,0.5,132.5,66.25,0,1,,,,,,,,
eumi,1998,17,7,3.542,0.412,.,.,0,1,,,,,,,,
evmu,1998,98,33,20.417,0.337,5478.87,1844.93,506.59,0.039,,,,,,,,
lare,1998,8,5,1.667,0.625,325.36,203.35,0,1,,,,,,,,
