Group members,Property address,Property value Zestimate ($),Property lot size (site area) (ft2),Latitude (decimal degrees),Longitude (decimal degrees),"Yard type (xeriscaped=1,lawn=5)",Number of species (trees),Number of species (shrubs),Number of species (succulents)
"Andy, Teddy, Haleigh",7316 E Baker Dr Scottsdale AZ 85266  ,1267255,51740,33.75726,-111.92183,5,4,4,3
"Andy, Teddy, Haleigh",7430 E Baker Dr Scottsdale AZ 85266 ,1222505,38332.8,33.75776,-111.92063,5,3,9,4
"Aylin, Berney, Maddie, Sofia",7439 E. Pampa Ave Mesa AZ 85212,"481,137",3023,33.59963,-111.674005,5,3,12,0
"Aylin, Berney, Maddie, Sofia",7366 E. Pampa Ave Mesa AZ 85212,"553,821",4491,33.3604,-111.675166,5,3,11,1
"Aylin, Berney, Maddie, Sofia",7407 E. Pampa Ave Mesa AZ 85212,"461,322","3,160",33.59987,-111.674948,4,3,7,0
"Aylin, Berney, Maddie, Sofia",7432 E. Pampa Ave Mesa AZ 85212,"524,279",3978,33.360403,-111.672715,4,3,6,4
"Aylin, Berney, Maddie, Sofia",7365 E. Pampa Ave Mesa AZ 85212,457940,3160,33.359929,-111.675188,4,2,10,2
"Deidra, Eli, Morgan","7421 E Northridge Circle, Mesa AZ 85207","414,828","2,900",33.463939,-111.672007,5,5,15,5
"Deidra, Eli, Morgan","2952 North Avoca Circle, Mesa AZ 85207",393895,2451,33.469216,-111.670949,4,2,10,6
"Deidra, Eli, Morgan","333 N Pennington Dr #26, Chandler AZ 85224",326786,2761,33.306667,-111.87193,1,0,4,0
"Deidra, Eli, Morgan","7413 E Northridge Circle, Mesa AZ 85207",410799,2512,33.46394,-111.672053,5,6,10,3
"Deidra, Eli, Morgan","7365 E Northridge Circle, Mesa AZ 85207",342780,1762,33.463947,-111.672328,5,3,4,10
"Deidra, Eli, Morgan","7414 E Northridge Circle, Mesa AZ 85207","413,799","2,512",33.464109,-111.672001,5,9,12,11
"Deidra, Eli, Morgan","11628 S Jokake St Phoenix, AZ 85044","174,917",3659,33.341818,-111.978907,4,1,9,1
"Deidra, Eli, Morgan","4235 E Equestrian Trl Phoenix, AZ 85044","333,229","7,740",33.33799,-111.998142,2,1,2,3
"Deidra, Eli, Morgan","1503 E Gemini Pl Chandler, AZ 85249","543,884","10,541",33.220338,-111.81501,3,1,6,0
"Deidra, Eli, Morgan","5443 S Mitchell Dr Tempe, AZ 85283","222,460","3,415",33.374463,-111.950353,1,0,0,3
"Deidra, Eli, Morgan","8051 S Calle Maravilla Guadalupe, AZ 85283","119,761","5,005",33.374102,-111.966483,1,2,1,0
"Deidra, Eli, Morgan","1919 E Brentrup Dr Tempe, AZ 85283","415,008","10,145",33.349747,-111.903679,4,2,4,1
"Deidra, Eli, Morgan","337 W Louis Way Tempe, AZ 85284","798,959",18730.8,33.34687,-111.942215,5,1,5,0
"Jeff, Alex, Ryan, Francisco","111 W 12th St. Tempe, AZ 85281","402,157","4,367",33.41601,-111.94168,2,1,2,0
"Jeff, Alex, Ryan, Francisco","1190 S Maple Ave Tempe, AZ 85281","472,240","10,110",33.41636,-111.94154,3,3,2,0
"Jeff, Alex, Ryan, Francisco","1180 S Maple Ave Tempe, AZ 85281","408,258","9,667",33.41655,-111.94154,4,4,2,2
"Jeff, Alex, Ryan, Francisco","1216 S Maple Ave Tempe, AZ 85281","479,900","9,130",33.41547,-111.94157,5,4,3,0
"Jeff, Alex, Ryan, Francisco","1191 S Maple Ave Tempe, AZ 85281","534,053","9,862",33.41639,-111.940887,3,2,1,2
"Jeff, Alex, Ryan, Francisco","1205 S Maple AVe Tempe, AZ 85281","607,191","19,602",33.41593,-111.94085,5,6,4,0
"Jeff, Alex, Ryan, Francisco","1224 S Maple Ave Tempe, AZ 85281","606,789","9,783",33.415783,-111.941289,4,4,2,0
"Jeff, Alex, Ryan, Francisco","1222 S Ash Ave Tempe, AZ 85281","907,095","20,037",33.415796,-111.942523,5,3,3,0
"Jeff, Alex, Ryan, Francisco","55 W 13th St Tempe, AZ 85281","2,717,489","8,379",33.414653,-111.94253,5,7,4,0
"Jeff, Alex, Ryan, Francisco","1225 S Ash Ave Tempe, AZ 85281","420,632","10,797",33.415776,-111.942325,4,4,2,0
"Andy, Teddy, Haleigh","131325 1325 E Orange St, Tempe, AZ 85281","$265,716",6355,33.418384,-111.915408,5,4,2,0
"Andy, Teddy, Haleigh","1349 E Orange St, Tempe, AZ 85281","309,145",6682,33.41816,-111.91489,1,5,2,0
"Andy, Teddy, Haleigh","1345 E Orange St, Tempe, AZ 85281","320,448",6364,33.41816,-111.91511,1,1,0,0
"Andy, Teddy, Haleigh","1337 E Orange St, Tempe, AZ 85281","255,575",6360,33.41816,-111.91554,5,2,4,0
"Andy, Teddy, Haleigh","1315 E Orange St, Tempe, AZ 85281","261,511",6347,33.41816,-111.91684,5,2,0,0
